match_name
Ankara Demirspor vs Inegolspor
Kocaelispor vs Hekimoglu Trabzon
Corum FK vs Amedspor
CO DO Montijo vs Praiense
Sonderjyske vs Odense BK
Sudeva Delhi FC vs Indian Arrows
Foolad Novin Ahvaz vs Melli Hafari Ahvaz
Dhaka Abahani vs Bangladesh Police Club
eFußball Tottenham (kray) vs eFußball Man City (olle)
