time,match_name,odd
14:00,"Northeast United FC
Jamshedpur","2.70
2.80
2.60"
11:00,"Prachuap FC
Buriram United FC","4.10
3.80
1.65"
11:30,"Sukhothai FC
Chonburi FC","2.15
3.50
2.75"
17:30,"Naft Al-Basra SC
Zakho FC","3.40
2.70
2.20"
11:30,"Zob Ahan Isfahan FC
Esteghlal FC","3.50
2.90
2.10"
11:30,"Saipa FC
Machine Sazi Tabriz","2.00
2.65
4.20"
11:30,"Gol Gohar Sirjan FC
Shahr Khodro FC","2.15
2.60
3.80"
11:45,"Naft Masjed Soleyman FC
Foolad Khuzestan FC","4.30
2.40
2.15"
11:45,"Tractor Sazi Tabriz FC
Paykan","1.70
2.90
5.50"
14:00,"Ramtha SC
Al Aqaba","1.85
3.10
4.00"
16:30,"Al-Wehdat
Shabab AL Ordun","1.50
3.70
5.70"
14:00,"Sohar
Oman FC","1.90
3.20
3.60"
12:00,"Harjaleh
Al Shorta Damascus","2.50
2.70
2.90"
12:00,"Hottin
Al-Sahel SC","1.25
4.70
9.50"
12:00,"Al-Ittihad Aleppo
Al-Futowa","1.70
3.50
4.30"
12:00,"Al Karamah
Al-Horiyah","1.45
3.80
6.00"
12:00,"Al Taliya
Al-Wahda Damascus","3.30
2.90
2.10"
12:00,"Jableh SC
Tishreen SC","4.00
3.20
1.80"
13:00,"Burgan SC
Al Salmiyah","4.70
3.50
1.60"
15:30,"AL Nasr
Al Jahra","1.32
4.40
7.50"
14:00,"Al-Fujairah
Al Ahli UAE","6.20
4.20
1.40"
14:00,"Ittihad Kalba
Al-Wahda SC UAE","3.40
3.40
1.90"
17:00,"Al-Nasr SC Dubai
AL Ain","1.75
3.80
3.60"
17:00,"Ajman Club
AL Khaleej Khor Fakkan","2.50
3.20
2.50"
12:40,"Dibba Al Fujairah
Al Taawon SC","1.65
3.90
3.90"
14:00,"MC Oran
WA Tlemcen","1.55
3.50
5.50"
14:00,"CA Bordj Bou Arreridj
RC Relizane","1.75
2.90
5.00"
14:00,"ASO Chlef
JS Kabylie","2.30
2.55
3.50"
15:00,"Bechem United
Karela FC","1.60
3.40
5.20"
18:00,"Legon Cities FC.
Ebusua Dwarfs","1.80
3.00
4.40"
12:00,"Bandari FC
Kenya Commercial Bank","2.35
2.90
2.90"
12:00,"Leopards SC
Western Stima FC","1.22
4.70
11.00"
14:00,"Stade Marocain
Olymp.de Khouribga","2.45
2.70
3.00"
11:00,"Mwadui FC
Polisi Tanzania FC","3.90
2.70
2.05"
13:00,"Biashara United FC
Mbeya City FC","1.90
2.80
4.30"
16:00,"Azam FC
Ruvu Shooting","1.80
2.80
5.00"
17:00,"Maritzburg United
Stellenbosch FC","2.40
2.65
3.30"
13:00,"Green Eagles
ZESCO United","3.10
2.80
2.30"
13:00,"AS Soliman
ES Sahel","4.30
2.70
1.95"
12:30,"Misr Lel Makasa
Enppi Club","2.55
2.70
2.90"
15:00,"Al Ittihad Al Sakandary
Smouha SC","2.45
2.70
3.00"
17:30,"Al Ahly Cairo
Ghazl El Mahallah","1.17
5.70
12.00"
13:00,"Wakiso Giants FC
Bright Stars","1.95
3.10
3.60"
13:00,"Kampala City Council
Uganda Revenue Authority FC","1.80
3.20
4.00"
16:00,"Lija Athletic
Valletta FC","10.00
5.50
1.20"
20:15,"Tarxien Rainbows FC
Sliema Wanderers FC","9.00
5.20
1.22"
14:00,"Anorthosis Famagusta FC
Pafos FC","1.75
3.20
4.50"
16:00,"K. Polemidion
AC Omonia Nicosia","5.70
3.50
1.55"
16:00,"Onisilos Sotira FC
Ayia Napa FC","1.60
3.70
4.40"
11:15,"eFußball Vamos Ez1d (EZ1)
eFußball Arukonda (ARU)","1.95
4.30
2.70"
